time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-01-10 11:00:00,28.4,11.0,34.0,0.0,,60.0,9.0,,1012.6,,3.0
2025-01-10 12:00:00,27.3,10.9,36.0,0.0,,67.0,11.5,,1013.0,,3.0
2025-01-10 13:00:00,25.4,11.2,41.0,0.0,,82.0,10.8,,1013.4,,3.0
2025-01-10 14:00:00,24.7,11.6,44.0,0.0,,89.0,12.6,,1014.5,,3.0
2025-01-10 15:00:00,23.5,11.8,48.0,0.0,,83.0,13.0,,1015.5,,3.0
2025-01-10 16:00:00,22.2,12.4,54.0,0.0,,126.0,10.1,,1016.0,,3.0
2025-01-10 17:00:00,22.0,12.3,54.0,0.0,,185.0,6.8,,1016.4,,3.0
2025-01-10 18:00:00,21.0,12.1,57.0,0.0,,314.0,4.7,,1016.3,,3.0
2025-01-10 19:00:00,19.8,12.3,62.0,0.0,,354.0,2.9,,1016.0,,2.0
2025-01-10 20:00:00,19.6,11.9,61.0,0.0,,7.0,3.2,,1015.3,,3.0
2025-01-10 21:00:00,18.9,11.9,64.0,0.0,,8.0,4.7,,1014.8,,3.0
2025-01-10 22:00:00,17.8,11.8,68.0,0.0,,37.0,6.8,,1014.5,,2.0
2025-01-10 23:00:00,17.3,11.6,69.0,0.0,,17.0,4.7,,1014.7,,3.0
2025-01-11 00:00:00,16.8,11.5,71.0,0.0,,337.0,4.0,,1014.8,,1.0
2025-01-11 01:00:00,15.8,11.6,76.0,0.0,,314.0,3.2,,1015.7,,1.0
2025-01-11 02:00:00,15.6,11.8,78.0,0.0,,314.0,2.9,,1016.3,,2.0
2025-01-11 03:00:00,17.6,11.6,68.0,0.0,,120.0,5.0,,1016.9,,2.0
2025-01-11 04:00:00,20.3,12.0,59.0,0.0,,99.0,7.2,,1017.7,,3.0
2025-01-11 05:00:00,23.4,12.4,50.0,0.0,,80.0,8.3,,1017.5,,3.0
2025-01-11 06:00:00,25.8,13.0,45.0,0.0,,88.0,8.3,,1016.6,,3.0
2025-01-11 07:00:00,27.8,13.3,41.0,0.0,,88.0,7.6,,1015.1,,3.0
2025-01-11 08:00:00,29.1,12.9,37.0,0.0,,284.0,6.5,,1013.3,,3.0
2025-01-11 09:00:00,30.0,12.0,33.0,0.0,,278.0,7.2,,1011.7,,3.0
